date,home_team,away_team,home_score,away_score
2023-09-07,KC,DET,20,21
2023-09-10,ATL,CAR,24,10
2023-09-10,BAL,HOU,25,9
2023-09-10,CLE,CIN,24,3
2023-09-10,IND,JAX,21,31
2023-09-10,MIN,TB,17,20
2023-09-10,NO,TEN,16,15
2023-09-10,PIT,SF,7,30
2023-09-10,WAS,ARI,20,16
2023-09-10,CHI,GB,20,38
2023-09-10,DEN,LV,16,17
2023-09-10,LAC,MIA,34,36
2023-09-10,NE,PHI,20,25
2023-09-10,SEA,LA,13,30
2023-09-10,NYG,DAL,0,40
2023-09-11,NYJ,BUF,22,16
2023-09-14,PHI,MIN,34,28
2023-09-17,ATL,GB,25,24
2023-09-17,BUF,LV,38,10
2023-09-17,CIN,BAL,24,27
2023-09-17,DET,SEA,31,37
2023-09-17,HOU,IND,20,31
2023-09-17,JAX,KC,9,17
2023-09-17,TB,CHI,27,17
2023-09-17,TEN,LAC,27,24
2023-09-17,ARI,NYG,28,31
2023-09-17,LA,SF,23,30
2023-09-17,DAL,NYJ,30,10
2023-09-17,DEN,WAS,33,35
2023-09-17,NE,MIA,17,24
2023-09-18,CAR,NO,17,20
2023-09-18,PIT,CLE,26,22
2023-09-21,SF,NYG,30,12
2023-09-24,BAL,IND,19,22
2023-09-24,CLE,TEN,27,3
2023-09-24,DET,ATL,20,6
2023-09-24,GB,NO,18,17
2023-09-24,JAX,HOU,17,37
2023-09-24,MIA,DEN,70,20
2023-09-24,MIN,LAC,24,28
2023-09-24,NYJ,NE,10,15
2023-09-24,WAS,BUF,3,37
2023-09-24,SEA,CAR,37,27
2023-09-24,ARI,DAL,28,16
2023-09-24,KC,CHI,41,10
2023-09-24,LV,PIT,18,23
2023-09-25,TB,PHI,11,25
2023-09-25,CIN,LA,19,16
2023-09-28,GB,DET,20,34
2023-10-01,JAX,ATL,23,7
2023-10-01,BUF,MIA,48,20
2023-10-01,CAR,MIN,13,21
2023-10-01,CHI,DEN,28,31
2023-10-01,CLE,BAL,3,28
2023-10-01,HOU,PIT,30,6
2023-10-01,IND,LA,23,29
2023-10-01,NO,TB,9,26
2023-10-01,PHI,WAS,34,31
2023-10-01,TEN,CIN,27,3
2023-10-01,LAC,LV,24,17
2023-10-01,DAL,NE,38,3
2023-10-01,SF,ARI,35,16
2023-10-01,NYJ,KC,20,23
2023-10-02,NYG,SEA,3,24
2023-10-05,WAS,CHI,20,40
2023-10-08,BUF,JAX,20,25
2023-10-08,ATL,HOU,21,19
2023-10-08,DET,CAR,42,24
2023-10-08,IND,TEN,23,16
2023-10-08,MIA,NYG,31,16
